name,image_url
Lewys Benjamin,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Rhys Bennett,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Saïd Benrahma,https://resources.premierleague.com/premierleague/photos/players/40x40/p172841.png
Rodrigo Bentancur,https://resources.premierleague.com/premierleague/photos/players/40x40/p202993.png
Dan Bentley,https://resources.premierleague.com/premierleague/photos/players/40x40/p79602.png
Sander Berge,https://resources.premierleague.com/premierleague/photos/players/40x40/p207189.png
Lucas Bergström,https://resources.premierleague.com/premierleague/photos/players/40x40/p482158.png
Lucas Bergvall,https://resources.premierleague.com/premierleague/photos/players/40x40/p570526.png
Bernardo Silva,https://resources.premierleague.com/premierleague/photos/players/40x40/p165809.png
Beto,https://resources.premierleague.com/premierleague/photos/players/40x40/p486385.png
Marcus Bettinelli,https://resources.premierleague.com/premierleague/photos/players/40x40/p122074.png
Giulian Biancone,https://resources.premierleague.com/premierleague/photos/players/40x40/p437753.png
Philip Billing,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Yves Bissouma,https://resources.premierleague.com/premierleague/photos/players/40x40/p227127.png
Leo Black,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Harvey Blair,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Malachi Boateng,https://resources.premierleague.com/premierleague/photos/players/40x40/p461377.png
Oscar Bobb,https://resources.premierleague.com/premierleague/photos/players/40x40/p477555.png
Lamare Bogarde,https://resources.premierleague.com/premierleague/photos/players/40x40/p515597.png
Bendegúz Bolla,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Willy-Arnaud Boly,https://resources.premierleague.com/premierleague/photos/players/40x40/p90585.png
Beaux Booth,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Aidan Borland,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
Alex Borto,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png
